track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,is_genre
3bMh0f7p377DT6esXJoJa6,0,175853,0.737,0.701,0,-6.013,1,0.0446,0.0495,1.11e-6,0.108,0.844,85.001,4,1
44U3T6S8BsdE76sz1VmQig,0,187640,0.739,0.72,4,-6.695,1,0.026,0.0379,0.00267,0.23,0.892,102.997,4,1
0AImaoLL03GspnSYyhh5Pd,0,183943,0.78,0.5,1,-9.785,1,0.0468,0.571,0,0.718,0.717,109.912,4,1
3Nej4MnDboEWJEyEpETTx5,0,236320,0.332,0.452,2,-6.77,1,0.0319,0.505,3.27e-6,0.133,0.333,149.231,4,1
7jztxVlmqgxirfxNb3k9TB,39,240760,0.731,0.97,6,-6.511,1,0.0766,0.479,0,0.214,0.748,132.944,4,0
0sNVZAkLao30zLfzJ9mbPI,1,270497,0.663,0.794,5,-7.793,1,0.0886,0.231,6.93e-4,0.0861,0.74,107.084,4,0
1gpKOLsFDK1Gga7wnDcNwT,0,166253,0.647,0.801,1,-2.946,0,0.249,0.0451,0,0.0628,0.517,180.108,4,0
4SKKmtA5ZgbcLzcjTzl8iP,53,194234,0.816,0.651,2,-7.988,0,0.0869,0.0132,0.5,0.0811,0.294,110.001,4,0
4YhHPtAVCxj7HfcvGTBHAC,56,245830,0.484,0.918,5,-4.684,0,0.0672,3.91e-4,0.0291,0.105,0.399,105.046,4,0
0Qi2JkCpl4VrTVC6UqxSGX,0,212560,0.558,0.54,3,-7.2,1,0.0305,0.501,0,0.252,0.654,133.774,4,1
2iZH4DDQr3vpfCLHqbxClj,0,190217,0.609,0.801,1,-8.483,0,0.0694,0.0246,0.00255,0.37,0.202,122.958,4,0
1TxtDLNSEJANynR9Xp5TMe,40,210023,0.522,0.661,1,-3.098,0,0.0369,0.466,0,0.0802,0.329,80.577,4,0
1D3J1dvlS60ZX3YbNJe9J6,46,164213,0.737,0.447,0,-4.751,1,0.0397,0.754,4.22e-4,0.085,0.963,148.15,3,0
1QHFs2PZZG6nKJXB2tVtMZ,5,403287,0.808,0.601,6,-13.727,1,0.0748,0.0271,0.899,0.106,0.729,127.021,4,0
2JjAZwcKJjmuwDZSiw4PEj,0,243057,0.503,0.582,0,-4.324,1,0.0253,0.472,0,0.103,0.326,77.321,4,0
753DZsGGXlasRCp48FmOhH,51,160000,0.817,0.732,7,-7.23,0,0.068,0.0254,0.806,0.811,0.963,132.019,4,0
3ZP18us6p6LHOZMG1LLUjF,74,241093,0.594,0.5,5,-5.586,0,0.0255,0.076,9.86e-5,0.184,0.537,104.996,4,0
7k6uh0LyiUSf2b074NXz6R,0,204346,0.431,0.195,5,-13.207,1,0.0516,0.806,1.19e-6,0.0862,0.156,80.983,3,1
1zsPaEkglFvxjAhrM8yhpr,77,196600,0.901,0.589,1,-6.713,0,0.289,0.00302,2.37e-4,0.0992,0.399,98.002,4,0
6WzN3h2OjVhmBwnkUNNiGz,0,159123,0.87,0.479,9,-7.779,1,0.165,0.161,1.57e-4,0.209,0.717,104.059,4,0
5tqiuSrbEsJ6ELmfPgn24l,5,356317,0.744,0.983,7,-6.714,1,0.0533,0.00323,0.885,0.15,0.279,124.009,4,0
2NhyinfLxEiqsgFT814tgM,0,232186,0.356,0.417,9,-8.91,0,0.038,0.0313,1.36e-5,0.155,0.316,190.414,4,1
1Ygg8lP3sRwkN9aEyBQgC6,1,141600,0.508,0.769,2,-5.973,1,0.0326,0.0577,6.1e-6,0.063,0.939,178.95,4,1
2KM8qFw8vlV0m0HFBBoNxm,0,308373,0.791,0.534,9,-13.261,0,0.0355,0.0749,1.99e-6,0.156,0.963,127.488,4,1
2zKI8AyZrTrCLcpHFIU8ze,30,223720,0.723,0.62,11,-6.983,1,0.461,0.0242,0,0.0759,0.717,111.792,5,0
5toFHcmv9XVQsOKbjlUZWY,0,227040,0.576,0.456,7,-7.583,1,0.0267,0.584,2.68e-5,0.0912,0.21,127.854,4,1
3LLezpquftwn7QI1rYIovM,64,154026,0.322,0.48,1,-5.989,1,0.0492,0.746,0,0.113,0.304,73.476,4,1
08mp5CIILzrapwf3GX9sEH,0,232058,0.524,0.643,9,-6.055,1,0.0297,0.451,0,0.221,0.397,135.962,4,1
2zphznHEwLRNCC6P1lJoIX,20,178893,0.382,0.81,7,-5.696,1,0.0677,0.312,4.69e-6,0.741,0.352,150.06,4,0
5AcqN484R0oJegPizdmNcj,0,181360,0.582,0.705,3,-8.169,1,0.053900000000000003,0.29,1.38e-6,0.797,0.64,128.89,4,0
1oB5LE4GXJk9jIXxgJPglc,0,177973,0.515,0.896,10,-3.548,1,0.0558,0.112,0,0.161,0.715,170.073,4,1
4IZ2mxI4BOhvvyk3y7UsMX,0,202503,0.611,0.779,5,-3.352,0,0.0369,0.0205,2.98e-5,0.319,0.585,127.991,4,0
4wL96O7QlsAKX9fwb2dxqa,46,272578,0.698,0.916,2,-7.359,1,0.0491,5.4e-4,0.924,0.102,0.148,128.017,4,0
3i64Rz1pm1np8rTVepe6kL,20,328333,0.426,0.88,8,-5.746,0,0.901,0.834,0,0.933,0.516,84.006,5,0
47etYUs12o0yYHd2bQ7Hel,0,167480,0.586,0.559,4,-6.725,1,0.05,0.639,0,0.0872,0.437,177.945,4,1
5gB2IrxOCX2j9bMnHKP38i,73,275640,0.562,0.934,5,-5.562,1,0.0607,0.00211,0,0.199,0.558,103.042,4,1
2kIawdmEzVhR9F0Z8EsOns,38,306760,0.648,0.748,10,-7.49,1,0.0635,0.747,0.00138,0.261,0.95,109.384,4,0
2MIaobtwS6AU7AjDlSB1ib,26,334600,0.324,0.0785,7,-19.839,1,0.0315,0.938,0.944,0.19,0.0963,79.07,4,0
6WmIyn2fx1PKQ0XDpYj4VR,69,252925,0.472,0.745,4,-5.297,1,0.0356,6.07e-4,2.74e-5,0.0957,0.0631,180.06,4,0
3PUIguYpwKFXmfGD6uU7Jl,54,196348,0.795,0.595,1,-8.073,1,0.0698,0.0823,0,0.128,0.502,91.025,4,0
1AzdplJAVv6zmqqE9trSaf,0,206106,0.607,0.912,8,-3.449,1,0.0611,0.124,0,0.332,0.722,134.944,4,1
3idqrJWsonNKPOvCbwSW6f,46,233280,0.821,0.481,3,-6.777,1,0.0317,0.383,0.00136,0.0783,0.96,112.057,4,0
74lkEoeMNoDY8k9e81GZOU,0,186946,0.678,0.995,3,-4.599,1,0.0681,0.076,0,0.379,0.742,130.013,4,0
4HEhS3sdZu5X2c7oLOEry1,0,199501,0.611,0.519,1,-9.854,1,0.035,0.481,4.82e-6,0.107,0.462,147.979,4,1
4yLzKvat3yF2kceREsBJyD,40,176347,0.689,0.6,10,-10.69,1,0.0416,0.526,2.43e-6,0.112,0.969,164.091,4,0
0KSbUqkc7zW39e4jF5au2F,0,187640,0.739,0.72,4,-6.695,1,0.026,0.0379,0.00267,0.23,0.892,102.997,4,1
05fL1P3yj5DLIE9mF7pf1z,0,219573,0.646,0.625,8,-8.819,0,0.0336,0.275,0,0.086,0.977,120.656,4,1
7nNUSD1jkWC71zIOUWY03E,54,236960,0.6,0.432,4,-9.674,0,0.0499,0.191,0.0462,0.114,0.275,71.975,4,0
0NAf1tdqosJQk9pStk7m7y,0,201541,0.488,0.175,8,-9.5,1,0.0491,0.952,1.01e-6,0.105,0.201,117.291,4,1
5nTbPFqLKmQdIg1SD8KgG4,62,213986,0.623,0.455,0,-9.793,1,0.0302,0.426,0,0.145,0.233,142.878,4,0
1QpwvWMQGdOgA8MXXfgs4H,82,165746,0.556,0.798,7,-3.331,1,0.254,0.0848,0,0.33,0.628,131.096,4,0
4wFn8ntlog7h00pewaY4KJ,0,207540,0.582,0.568,1,-7.3,1,0.0275,0.577,0,0.105,0.394,121.991,3,1
2Bhq7YTxIZgkdbmRC1tZSZ,0,226600,0.456,0.555,10,-10.615,1,0.0369,0.508,0.0194,0.106,0.776,101.31,4,1
2YOuBWIyHgyvHnLMpjzBf2,61,235850,0.694,0.977,4,-4.553,1,0.0734,0.0115,0.1,0.0916,0.333,132.994,4,0
4U6MtSRFua5nFhPI1fYUwx,0,130909,0.31,0.229,11,-14.422,1,0.0343,0.982,0.689,0.112,0.2,121.178,4,0
4veKtopHidSZBhrDQJVQp1,0,178386,0.655,0.677,6,-4.278,1,0.0326,0.146,0,0.131,0.62,127.041,4,1
2U2hAcbYfk05ESxrpk3vmu,1,210699,0.674,0.603,10,-6.704,1,0.0452,0.267,0,0.108,0.524,121.969,4,1
2VGkf2IJXOSWouDhatlH3i,56,241880,0.284,0.253,0,-14.6,1,0.0347,0.712,0.353,0.69,0.292,81.575,4,0
0WClv9xPvQPeuZcPwP0VZf,0,207540,0.582,0.568,1,-7.3,1,0.0275,0.577,0,0.105,0.394,121.991,3,1
7I6yxrc3RdDzRBeTYfHlo2,18,276169,0.802,0.535,6,-14.295,1,0.0763,4.69e-4,0.939,0.0809,0.961,125.014,4,0
0wQCiHAgUJdlBdRtdrnLFK,44,207360,0.614,0.589,6,-8.38,1,0.0351,0.472,0,0.109,0.351,148.076,4,1
5LvTXUwvXcq348o5LdAVZJ,59,169474,0.178,0.0442,9,-30.133,1,0.0408,0.534,0.715,0.112,0.0399,78.594,3,0
784F2uaW9wuXvf9QiXzTUU,0,169440,0.472,0.701,2,-4.563,1,0.0369,0.0387,0,0.107,0.515,79.805,4,1
